Ulm;48°24'N;9°59'O;118000
Bonn;50°44'N;7°6'O;310000
Dresden;51°3'N;13°44'O;525000
Kiel;54°20'N;10°8'O;240000
Mainz;50°0'N;8°16'O;201000
Kassel;51°19'N;9°30'O;193000
Rostock;54°5'N;12°8'O;202000
